Population	prediction
Nasioi_Bougainville	Antananarivo_Madagascar_0	6202.134598577631
Nasioi_Bougainville	Antananarivo_Madagascar_0	10607.624438005885
Nasioi_Bougainville	Antananarivo_Madagascar_0	7245.079294586321
Nasioi_Bougainville	Bermudian_2	16283.740713453328
Nattukottai_Chettiar	Majhbi_0	16283.740713453328
Papua_New_Guinea_coastal	Meitei_0	6893.247782239528
Papua_New_Guinea_coastal	Meitei_0	6894.005482190129
Papua_New_Guinea_coastal	Bermudian_2	16496.489261513307
Papua_New_Guinea_coastal	Bermudian_2	16496.489261513307
Papua_New_Guinea_coastal	Nasioi_Bougainville_0	958.6413015398773
Papua_New_Guinea_coastal	Nasioi_Bougainville_0	954.0601695099401
Papua_New_Guinea_coastal	Bermudian_2	16496.489261513307
Papua_New_Guinea_highland	Bermudian_2	16313.539062199126
Papua_New_Guinea_highland	Bermudian_2	16313.539062199126
Papua_New_Guinea_highland	Bermudian_2	16313.539062199126
Papua_New_Guinea_highland	Bermudian_2	16313.539062199126
Papua_New_Guinea_highland	Bermudian_2	16176.207968233166
Papua_New_Guinea_highland	Meitei_0	4416.1150816863665
Papua_New_Guinea_highland	Antananarivo_Madagascar_0	7234.09001751158
Papua_New_Guinea_highland	Nasioi_Bougainville_0	1367.8862224270456
Papua_New_Guinea_highland	AYMARA_URO_0	15826.27317461154
Parayar	Gond_Ori_0	1342.8359681723723
Parsee	Iran_1	1342.8359681723723
Peru	AYMARA_URO_0	775.8521746383116
Peru	AYMARA_URO_0	585.6381316250242
Peru	Bermudian_1	5099.046543184066
Peru	Bermudian_1	5099.054434051213
Peru	Guanajuato_Mexico_0	4171.957927337311
Peru	AYMARA_URO_0	409.81980724350313
Peru	Guanajuato_Mexico_0	4466.318927176303
Peru	Guanajuato_Mexico_0	4408.2999882206595
Peru	Guanajuato_Mexico_0	4417.31719461513
Peru	Guanajuato_Mexico_0	4402.573662911
Peru	Guanajuato_Mexico_0	4491.222484986171
Puerto_Rico	Bermudian_1	1530.7042841386758
Puerto_Rico	Andilambe_Madagascar_0	12911.595233601474
